title,imdb_id,tmdb_id,original_title,adult,belongs_to_collection,poster_path,budget,genres,homepage,overview,popularity,production_companies,production_countries,release_date,spoken_languages,status,vote_average,vote_count,movie_id,original_language
À la mode,tt0106878,349394.0,À la mode,False,,/qbpjtFUPpYHtILQOLlgMImV1Cyo.jpg,0.0,,,"Fausto enters an orphanage and is initially bullied, but then makes friends with a new bunkmate, Raymond. He is apprenticed to Mietek, a tailor in the Jewish quarter, who teaches him the trade. Fausto charms everyone in the quarter, and falls in love with Tonie, the mechanic's daughter. He starts making outrageous suits for publicity and, after dressing Tonie, decides that he wants to be a famous couturier.",8.2e-05,,,1993-09-10,,Released,0.0,0.0,+la+mode+1993,en
À l'aventure,tt1235552,64124.0,À l'aventure,False,,/stLMvwAMxd8MBnnvjI9fjiP52lb.jpg,0.0,,,"Fed up with her present lifestyle, and more particularly sexually unsatisfied by her boyfriend Fred, Sandrine decides to find a new way in life. Intrigued by her friend Sophie, who tells her about her sexual experimentations, she will find, through various encounters, new pleasures and new experiences, whether physical or spiritual.",3.282339,,,2008-08-29,,Released,5.0,13.0,+laventure+2008,fr
À nos amours,tt0086650,2282.0,À nos amours,False,,/xi3wE0k8Xg1EL4AVVkuT8hRMLV5.jpg,0.0,,,"A portrait of youth in bloom; a tale of one family's dissolution; a reflection upon the danger and the mystery in living.  Sandrine Bonnaire plays Suzanne, a free spirit and the vessel for an almost Brontëan choler. She's 16, and men exist — diverse lovers, an overbearing brother, and the father portrayed by director Maurice Pialat himself in an unforgettable turn that displays the full magnitude of the cinema giant's tenderness, force-of-will, and presence of being.",3.609326,,,1983-11-16,,Released,5.6,37.0,+nos+amours+1983,fr
À Nous la Liberté,tt0022599,31514.0,À Nous la Liberté,False,,/ubKSEmH3OQFujSenUKuKhz4hwZE.jpg,0.0,,,"One of the all-time comedy classics, René Clair’s À nous la liberté tells the story of Louis, an escaped convict who becomes a wealthy industrialist. Unfortunately, his past returns (in the form of old jail pal Emile) to upset his carefully laid plans. Featuring lighthearted wit, tremendous visual innovation, and masterful manipulation of sound, À nous la liberté is both a potent indictment of mechanized modern society and an uproarious comic delight.",1.209032,,,1931-12-18,,Released,7.4,16.0,+nous+la+libert+1931,fr
...And God Created Woman,tt0049189,8420.0,Et Dieu… créa la femme,False,,/oEFiaX89TZKrA7qTBMcibhPGJ4G.jpg,0.0,,,"Juliette Hardy is sexual dynamite, and has the men of a French coastal town panting. But Antoine, the only man who affects her likewise, wouldn't dream of settling down with a woman his friends consider the town tramp.",3.28239,,,1956-11-28,,Released,6.2,43.0,...and+god+created+woman+1956,fr
06/05,tt0419952,30860.0,06/05,False,,/xdY2qDXtx61jHYA1tjXvDanhK9a.jpg,0.0,,,"A fictional version of the events that led to the assassination of the Dutch politician Pim Fortuyn on May 6, 2002. The movie is based upon the book ""The sixth of May"" by Tomas Ross.",0.903115,,,2004-12-15,,Released,5.6,6.0,0605+2004,nl
1 - Nenokkadine,tt2375559,249772.0,1 - ???????????,False,,/yeKC1QB6VAweNss8QvbvrWpo3tZ.jpg,0.0,,,Gautham is a rock star suffering from a mental disorder due to which he loses grip over reality. But he's convinced his parents were murdered by three men and his only goal is revenge.,2.216623,,,2014-01-10,,Released,5.8,13.0,1+-+nenokkadine+2014,te
10.5: Apocalypse,tt0463850,21847.0,10.5: Apocalypse,False,,/zIgjER1poQRbod23z8v5Kx0bk7P.jpg,0.0,,,"A jolted West Coast deals with the deadly aftereffects of a massive tremor in this sequel to the disaster drama 10.5. Concerned that a widening fault line may set off two nuclear reactors, seismologist Samantha Hill (Kim Delaney) contacts the president (Beau Bridges). Assembling an expert rescue team, they search for the one man who can help them: Samantha's father (Frank Langella), a scientist who predicted this catastrophe. Dean Cain co-stars.",2.80335,,,2006-03-18,,Released,4.9,33.0,10.5+apocalypse+2006,en
"10,000 km",tt3114132,253251.0,10.000 KM,False,,/8oO4vOe6f9QSuoXEYwTXXPf6tS6.jpg,0.0,,,"Two people in love, two apartments - one in Barcelona and another on in Los Angeles - and the images of their past, present and future. Can love survive 10,000km?",2.257993,,,2014-05-16,,Released,6.3,33.0,10_000+km+2014,en
101 Dalmatians II: Patch's London Adventure,tt0324941,13654.0,101 Dalmatians II: Patch's London Adventure,False,,/ht4h6I7WwaZa1E8xzb1jE94mDvS.jpg,0.0,,,"Being one of 101 takes its toll on Patch, who doesn't feel unique. When he's accidentally left behind on moving day, he meets his idol, Thunderbolt, who enlists him on a publicity campaign.",10.398905,,,2003-01-21,,Released,5.7,231.0,101+dalmatians+ii+patchs+london+adventure+2003,en
101 Reykjavik,tt0237993,10989.0,101 Reykjavík,False,,/jyjgNkDfBTtKb8hQCI6LaW6SBNW.jpg,0.0,,,"Thirty-year-old Hlynur still lives with his mother and spends his days drinking, watching porn and surfing the net while living off unemployment checks. A girl is interested in him, but he stands back from commitment. His mother's Spanish flamenco teacher, Lola, moves in with them for Christmas. On New Year's Eve, while his mother is away, Hlynur finds out Lola is a lesbian, but also ends up having sex with her. He soon finds out he and his mother are sharing more than a house. Eventually he must find out where he fits into the puzzle, and how to live life less selfishly.",6.565758,,,2000-05-31,,Released,6.7,34.0,101+reykjavik+2000,is
1066: The Battle for Middle Earth,tt1329539,45988.0,1066,False,,/iTbQkp23HBWVhKeOffC9Iptu6bJ.jpg,0.0,,http://www.1066themovie.biz,"October 14th, 1066 is the most famous date in English history. It is the year of TWO invasions of England, and in which three huge and bloody pitched battles were fought",0.133927,,,2009-05-18,,Released,0.0,0.0,1066+the+battle+for+middle+earth+2009,en
10th & Wolf,tt0360323,13197.0,10th & Wolf,False,,/sL2dZPMbKYWX9X0DbyNIoCfksZz.jpg,8000000.0,,,"A former street tough returns to his Philadelphia home after a stint in the military. Back on his home turf, he once again finds himself tangling with the mob boss who was instrumental in his going off to be a soldier.",3.034823,,,2006-02-19,,Released,6.3,26.0,10th++wolf+2006,en
11 Flowers,tt2042432,98232.0,?11,False,,/j3AGqcpep4rlfmsAJksfmnR4z9j.jpg,0.0,,,A coming-of-age story set during China's Cultural Revolution. 11 year old Wang Han finds himself entangled with a fugative and struggles to understand the adult world.,0.312795,,,2011-09-11,,Released,7.3,4.0,11+flowers+2011,zh
11'09''01 - September 11,tt0328802,1926.0,11'09''01 - September 11,False,,/u3J9FHCh7s9KmsWkHP5JH8zohes.jpg,0.0,,,11 directors show their view on the terrorist attacks on the world trade center in New York.,3.103918,,,2002-09-04,,Released,6.1,24.0,110901+-+september+11+2002,en
